Year,Province,Births,Deaths,Temporary Residents,Permanent Residents,Population,Population_age_0 to 3 years,Population_age_18 to 50 years,Population_age_4 to 17 years,Population_age_50 years and above,Men+,Women+,Full-time educators,Part-time educators,Students,Beds,Physician
2017,Newfoundland and Labrador,3989,5139,26708,1185,529742,18115,213935,72217,225382,262655,267087,5046,294,65283,2340,1347
2017,Northwest Territories,621,239,1732,240,44656,2578,22213,8172,11690,22948,21708,840,129,8733,156,35
2017,Nova Scotia,8106,9659,76491,4515,952159,33983,385696,130962,401221,466187,485972,9552,0,118962,3129,2455
2017,Nunavut,928,181,231,40,37656,3510,18033,10462,5649,19319,18337,807,18,10107,0,8
2017,Ontario,141388,106775,1635654,112010,14078499,573505,6227617,2163780,5110459,6944793,7133706,132756,24702,2020245,31328,32055
2017,Prince Edward Island,1295,1370,14750,2345,149740,5856,60397,22816,60628,73005,76735,1518,126,20187,489,289
2017,Quebec,83998,67843,525438,52380,8292832,350881,3491534,1205244,3243092,4129746,4163086,70371,31914,925818,19124,20908
2017,Saskatchewan,15367,9516,69887,14685,1147315,61532,498690,203141,383534,577996,569319,10728,1359,181290,3038,2356
2017,Yukon,432,241,2301,225,39533,1808,18607,6019,13099,20060,19473,537,351,5388,67,77
2018,Alberta,52324,25749,153797,42015,4292556,219307,2028026,739768,1304689,2163811,2128745,34947,6240,673788,10898,10806
2018,British Columbia,43436,38561,405107,44855,5020979,183963,2235123,689609,1910798,2487881,2533098,31620,8142,561501,13821,12553
2018,Canada,373307,283148,1969935,321055,37072620,1553312,16263496,5635342,13611416,18425190,18647430,324159,77127,4918119,94535,89772
2018,Manitoba,16806,10939,59990,15225,1352687,68528,598853,236359,448488,678682,674005,11967,1731,186519,4209,2918
2018,New Brunswick,6369,7635,16649,4610,770497,27231,303588,107444,332003,380513,389984,7488,273,97896,2818,1885
2018,Newfoundland and Labrador,3893,5208,13624,1525,528402,17346,210042,71205,229706,261715,266687,5079,285,64617,2373,1414
2018,Northwest Territories,597,226,852,280,44536,2539,21997,8132,11865,22923,21613,867,132,8496,130,41
2018,Nova Scotia,7967,9774,40336,5985,962072,34130,389276,130792,407583,471850,490222,9672,0,120603,3125,2616
2018,Nunavut,902,231,125,30,38322,3536,18232,10654,5898,19597,18725,795,18,10653,0,17
2018,Ontario,140659,106117,923548,137460,14326746,577983,6356939,2177412,5211334,7080606,7246140,135228,24168,2040480,32283,33872
2018,Prince Edward Island,1308,1331,8274,2125,152259,5778,61652,23089,61701,74289,77970,1554,144,20361,489,305
2018,Quebec,83864,67553,311105,51125,8386951,349750,3519442,1229280,3286314,4180331,4206620,73341,34542,944907,19677,20878
2018,Saskatchewan,14725,9556,35045,15510,1156210,61397,501233,205510,387640,582495,573715,10809,1338,182844,3198,2390
2018,Yukon,457,268,1483,305,40403,1824,19093,6088,13397,20497,19906,798,111,5448,12,77
2019,Alberta,50785,27124,202305,43715,4355377,217082,2045429,753279,1338717,2195261,2160116,35754,5496,683280,10990,11205
2019,British Columbia,43103,39164,584738,50230,5111022,182625,2285577,697990,1943303,2534370,2576652,32190,8274,568074,13653,12757
2019,Canada,371321,297195,2961284,341175,37618495,1546113,16503441,5711173,13848222,18715511,18902984,326043,76623,4976217,94798,91372
2019,Manitoba,16716,11322,83788,18870,1370033,68404,607095,238802,455287,688532,681501,12042,1743,187893,4132,2979
2019,New Brunswick,6228,7586,30201,6005,777387,26898,305023,108382,336857,383748,393639,7506,303,98964,2816,1923
2019,Newfoundland and Labrador,3700,5381,18978,1855,527643,16713,206551,70362,233914,261230,266413,5019,321,63993,2361,1357
2019,Northwest Territories,567,253,981,195,44442,2485,21798,8132,12025,22817,21625,873,201,8571,175,44
2019,Nova Scotia,7984,9845,60477,7595,975799,33944,395734,132147,413658,479615,496184,9843,0,123237,3113,2624
2019,Nunavut,876,209,173,40,38839,3579,18388,10808,6064,19801,19038,807,24,10728,0,21
2019,Ontario,140625,112021,1365064,153370,14573565,579841,6477219,2199221,5313947,7213047,7360518,133944,23373,2056059,32767,34091
2019,Prince Edward Island,1344,1406,14135,2445,155792,5681,63725,23593,62747,76021,79771,1575,129,20733,488,323
2019,Quebec,84545,72811,550932,40565,8483186,346677,3554262,1253982,3326038,4233549,4249637,74919,35340,964110,19456,21485
2019,Saskatchewan,14446,9788,47437,15870,1164223,60327,503208,208245,391999,586707,577516,10848,1284,184941,3331,2484
2019,Yukon,402,285,2070,400,41187,1857,19432,6230,13666,20813,20374,726,129,5634,12,79
2020,Alberta,49155,30260,250813,22970,4407495,212049,2056173,767579,1370792,2221643,2185852,35655,4908,664911,10751,11197
2020,British Columbia,42902,42787,764369,28485,5176101,181045,2310031,707260,1976115,2566631,2609470,33129,7623,561309,13183,13073
2020,Canada,362563,307297,3952633,184595,38028638,1531292,16640639,5784212,14062601,18929001,19099637,331947,77838,4911720,96973,92173
2020,Manitoba,16532,12000,107587,8610,1380132,67951,609189,241211,461337,694373,685759,12474,1593,179877,4170,2987
2020,New Brunswick,6281,7633,43754,2890,783432,26528,306043,109128,341512,386711,396721,8031,270,97263,2708,1949
2020,Newfoundland and Labrador,3694,5451,24332,900,526884,15936,203592,69650,237596,260669,266215,5271,327,62982,2261,1361
2020,Northwest Territories,575,295,1110,125,44504,2422,21601,8223,12258,22809,21695,900,252,8520,176,52
2020,Nova Scotia,7683,9956,80619,3520,989168,33611,401537,133865,419840,487194,501974,9924,0,121599,3100,2719
2020,Nunavut,915,201,222,20,39479,3671,18593,10928,6287,20028,19451,813,15,10902,0,25
2020,Ontario,136824,116593,1806580,82955,14761811,579150,6553308,2219363,5406435,7310824,7450987,134910,24777,2025261,33127,33830
2020,Prince Edward Island,1412,1395,19997,1290,159193,5614,65762,23968,63803,77612,81581,1605,144,20643,488,322
2020,Quebec,82096,69722,790760,25235,8551095,342639,3573465,1276033,3356808,4271282,4279813,77433,36714,972366,20020,22038
2020,Saskatchewan,14048,10693,59830,7425,1167386,58865,501488,210563,395972,588124,579262,11253,1074,180363,3492,2535
